company,label
"malibu media, llc",organization
"strike 3 holdings, llc",organization
"broadcast music, inc., et al",organization
malibu media llc,organization
atlantic recording corporation,organization
elektra entertainment group in,organization
"broadcast music inc, et al",organization
"bridgeport music inc, et al",organization
broadcast music inc,organization
sony bmg music entertainment,organization
warner bros. records inc.,organization
"broadcast music, inc.",organization
"umg recordings, inc.",organization
microsoft corporation,organization
bmg music,organization
"capitol records, inc.",organization
arista records llc,organization
interscope records,organization
"columbia pictures, et al",organization
"broadcast music, inc, et al",organization
microsoft corp,organization
"virgin records america, inc.",organization
priority records llc,organization
"umg recordings, inc., et al",organization
maverick recording company,organization
righthaven llc,organization
broadcast music,organization
"joe hand promotions, inc.",organization
star fabrics inc,organization
"cobbler nevada, llc",organization
"universal city, et al",organization
fonovisa inc,organization
"patrick collins, inc.",organization
"dallas buyers club, llc",organization
"motown record company, l.p.",organization
"bmg music, et al",organization
warner bros records inc,organization
"broadcast music, et al",organization
"sony bmg music entertai, et al",organization
"lhf productions, inc.",organization
capitol records inc,organization
af holdings llc,organization
"arista records llc, et al",organization
"me2 productions, inc.",organization
"good man productions, inc.",organization
"star fabrics, inc.",organization
"seal 1, et al",organization
"yesh music, llc",organization
microsoft corp.,organization
"fonovisa, inc.",organization
manny film llc,organization
"elektra entertainment group, i",organization
bdc music inc,organization
umg recordings inc,organization
"walt disney company, et al",organization
plastic the movie limited,organization
"unicolors, inc.",organization
"interscope records, et al",organization
"warner bros. records, inc.",organization
"scholz design, inc.",organization
twentieth century fox film cor,organization
"live face on web, llc",organization
strike 3 holdings llc,organization
"wb music corp., et al",organization
bwp media usa inc.,organization
"atlantic recording corp, et al",organization
"tcyk, llc",organization
disney enterprises,organization
warner bros. entertainment inc,organization
adobe systems incorporated,organization
"pearson education, inc., et al",organization
"bodyguard productions, inc.",organization
masterfile corporation,organization
"disney enterprises, et al",organization
paramount pictures corporation,organization
warner bros home entertainment,organization
virgin records america inc,organization
"disney enterprises, inc.",organization
"star fabrics inc, et al",organization
"l.a. printex industries, inc.",organization
"atlantic recording, et al",organization
corbis corporation,organization
london-sire records inc.,organization
"home design services, inc.",organization
"warner bros. records in, et al",organization
disney enterprises inc,organization
"michael grecco productions, in",organization
"don king productions, inc.",organization
"broadcast music, inc",organization
gold value international texti,organization
l a printex industries inc,organization
"columbia pictures industries,",organization
"venice pi, llc",organization
"controversy music, et al",organization
ty inc,organization
"dallas buyers club, llc.",organization
"warner bros. records, et al",organization
"kieselstein-cord, et al",organization
"minden pictures, inc.",organization
"john wiley & sons, inc.",organization
"umg recordings inc, et al",organization
"energy intelligence gro, et al",organization
"priority records llc, et al",organization
unicolors inc,organization
"zuffa, llc",organization
"a,b,c",organization
microsoft,organization
abc,organization
fortune,organization
"metro-goldwyn-mayer, et al",organization
"rodsongs, et al",organization
a.b.c.,organization
"abc, et al",organization
"realsongs, et al",organization
"elektra, et al",organization
disney ent inc,organization
"broadcast music, inc.;",organization
fashion-in-prints,organization
lickerish ltd.,organization
"lida, inc.",organization
lucasfilm ltd,organization
lucasfilm ltd.,organization
"may, george",organization
mca television,organization
"metro-goldwyn-mayer pictures,",organization
nisus corporation,organization
"p/kaufmann, inc.",organization
"pem-america, inc.",organization
"phe, inc.",organization
qad inc,organization
sandicast inc,organization
broadcast,organization
edmark industries,organization
ellison educational,organization
gelb promotions,organization
greenfund music,organization
harris industries,organization
james avery,organization
jobete music,organization
"kaplan, inc.",organization
"kepner-tregoe, inc.",organization
lacerte software,organization
lanz inc,organization
lumisource inc,organization
"mca, inc.",organization
national football,organization
"novelty, inc.",organization
pure songs,organization
queenie ltd.,organization
sexsea inc,organization
sohk sportswear,organization
sony computer,organization
spatial corp.,organization
speakercraft llc,organization
"spoontiques, inc.",organization
"stockart.com, llc",organization
stygian songs,organization
"visbeen associates, inc.",organization
"warner bros, inc.",organization
warner bros. inc.,organization
"rotoplay, inc.",organization
sabal music,organization
saenger organization,organization
safeair inc,organization
sawyer lester,organization
schwartz-liebman textile,organization
"sharpshooters inc.,",organization
signature homes,organization
silvertree inc,organization
simpleville music,organization
smile international,organization
smithkline beecham,organization
"smoko, inc.",organization
snug music,organization
comedy partners,organization
"f. schumacher & co., et al",organization
"fathers & daughters nev, et al",organization
"the reynolds and reynol, et al",organization
"the richard avedon foun, et al",organization
"the walt disney comp, et al",organization
"the wave studio, llc, et al",organization
"edwin h. morris & co, et al",organization
"the original log cabin , et al",organization
"universal music mgb na , et al",organization
"van cleef & arpels s.a., et al",organization
1974 music,organization
!k7 records gmbh,organization
"""fitzgerald publishing co""",organization
"""m"" productions, inc.",organization
"1729172 ontario, inc.",organization
"18 nutrition, inc.",organization
180 skills llc,organization
"""because we care"" ministries",organization
"18th avenue toys, ltd",organization
"christopher & banks cor, et al",organization
"chrysalis music group, , et al",organization
"church of the move, et al",organization
"committee for ground ze, et al",organization
"community of christ cop, et al",organization
"jam ""n"" bread music, et al",organization
"jam 'n' bread music, et al",organization
"jazz bird music, wb music corp",organization
"lorimar music a. c., et al",organization
"lorraine e. schwartz, i, et al",organization
"priority records,  l. l. c.",organization
"prism video group, inc., et al",organization
"pro music rights, llc, et al",organization
"pro tex training, in, et al",organization
"q and shu global industries, l",organization
"q design group, ltd, et al",organization
"radio television of ser, et al",organization
"rag amer coal hldg, et al",organization
"sinclair l.d. johnson i, et al",organization
sir & trini music et al,organization
"sony atv tunes llc, et al",organization
"sony music ent. inc., et al",organization
"soos & associates, inc., et al",organization
"sparkman & stephens hol, et al",organization
"spigen korea co., ltd., et al",organization
"j albert & son inc, et al",organization
"j. albert & son inc, et al",organization
"j. albert & son inc., et al",organization
"live face on web llc, et al",organization
"live face on web, llc, a penns",organization
"live face on webb, llc, et al",organization
"wallace church & co. in, et al",organization
"warner bros.  records i, et al",organization
"wings of dreams, inc. , et al",organization
"world wide data link in, et al",organization
"yours, mine and ours mu, et al",organization
"bmg music, a new york g, et al",organization
"bmg/edim s a de c v, et al",organization
"glacier films (u s a) i, et al",organization
"j. albert & son (usa), , et al",organization
"lock & key portraits & , et al",organization
richcar music corp,organization
"rilting music, inc.",organization
"rimas entertainment, llc",organization
ring specialty co.,organization
"ringdahl architects, inc.",organization
"risktimetry analytics, llc",organization
riteway haluska printers,organization
river city studio,organization
river ent limited,organization
river logic inc,organization
"rmc project management, inc.",organization
"rms international (usa), inc.",organization
rms international usa inc,organization
solengo capital advisors ulc,organization
"solid oak sketches, llc",organization
solo cup operating corporation,organization
"solpower corporation, et al",organization
"solutions in hand, inc.",organization
somerest songs publishing i,organization
somerset songs pub etal,organization
somerset songs pub inc,organization
the david geffen co.,organization
the dbt grp inc,organization
"the diamond collection, llc",organization
the donna karan co.,organization
"umg recordings , inc.",organization
"umg recordings, inc.et al",organization
"umg recordings,inc., et al",organization
"warner bros. enterrainment, in",organization
warner bros. record inc.,organization
"warner bros. recording, inc.",organization
warner bros. reocrds inc.,organization
"warner bros.,, et al",organization
"asset vision llc, et al",organization
"associated sales inc, et al",organization
"associates comm corp, et al",organization
"association for informa, et al",organization
"astor chocolate corp., et al",organization
"astro system japan, co., ltd.",organization
"astrosys intl ltd, et al",organization
"crystal lands, llc, et al",organization
"crystal sky llc, et al",organization
"csa images, inc., et al",organization
"csdc systems, inc., et al",organization
"csm investors, inc., et al",organization
"ct corp syst, et al",organization
"ct matuzas inc, et al",organization
"cta pub relations, et al",organization
"somerset songs publishi, et al",organization
"sony atv harmony, et al",organization
sony bmg music entertainment e,organization
sony music entertainment  inc.,organization
seal,other
sealed,other
-8,other
"sealed, et al",other
suppressed,other
sealed case,other
sealed matter,other
sealed i,other
doe (sealed),other
.,other
unknown plaintiff,other
***(sealed case)***,other
sealed 1,other
sealed pla,other
"""sealed matter""",other
**sealed case***,other
//all plaintiffs//,other
party x     (sealed),other
bell,person
philpot,person
sadowski,person
johnson,person
stross,person
smith,person
oppenheimer,person
miller,person
sands,person
tomelleri,person
bowers,person
yang,person
wild,person
hirsch,person
rosen,person
howarth,person
jackson,person
davis,person
harrington,person
myeress,person
seidman,person
durant,person
reiffer,person
tylor,person
jones,person
chevrestt,person
williams,person
goldman,person
verch,person
brown,person
dermansky,person
kelly,person
mcdermott,person
wright,person
white,person
zlozower,person
anderson,person
harbus,person
tabak,person
watkins,person
robinson,person
thomas,person
martinka,person
mitchell,person
bass,person
clark,person
corson,person
ward,person
moore,person
werner,person
wolman,person
campbell,person
granger,person
whitehead,person
mcglynn,person
perry,person
wilson,person
wisser,person
baker,person
marshall,person
rice,person
harris,person
peterson,person
farrington,person
prokos,person
emanuele,person
gordon,person
parisienne,person
friedman,person
glynn,person
martin,person
roberts,person
scott,person
"oppenheimer, et al",person
kennedy,person
lee,person
pierson,person
biggs,person
boffoli,person
gray,person
mango,person
thompson,person
ayiomamitis,person
craig,person
morris,person
schwartz-liebman,person
stevens,person
"johnson, et al",person
bachner,person
bennett,person
campinha-bacote,person
"james, et al",person
"williams, et al",person
"davis, et al",person
"greenberg, et al",person
"brown, et al",person
"jones, et al",person
mccarthy,person
messerschmidt,person
mills,person
o'neil,person
park,person
poparic,person
reynolds,person
rodsongs,person
rudkowski,person
sefton,person
shapiro,person
reed,person
roethlisberger,person
russell,person
schmidt,person
schmitman,person
schneider,person
"sealed,",person
shell,person
stolarik,person
straus,person
sutton,person
troiani,person
warren,person
wohr,person
wu,person
alcorn,person
au,person
barry,person
bean,person
boesen,person
boot,person
brooks-ngwenya,person
wakefield,person
warner,person
washington,person
webster,person
westmoreland,person
winn,person
wolf,person
yates,person
yue,person
zanger,person
"doe, john",person
bechler,person
becker,person
begleiter,person
borrows,person
boyle,person
brue,person
buchanan,person
bugenhagen,person
burgin,person
"gibson, et al",person
"pina, et al",person
"sheridan, et al",person
"waye, et al",person
"west, et al",person
"young, et al",person
"armstrong, et al",person
"ballard, et al",person
"belvin, et al",person
"berry, et al",person
"bond, et al",person
"borge, et al",person
"buffer, et al",person
"burnett, et al",person
"burns, et al",person
"chu, et al",person
"clark, et al",person
"cohen, et al",person
"john galt entertainment, inc.",person
willette,person
winfield,person
wise,person
wodarczyk,person
wolters,person
woodard,person
john doe,person
"john durant photographer, llc",person
john f. crane,person
"""doe""",person
"""john does""",person
"""john does"" i through v, et al",person
""" hal"" turner",person
john c bummoe,person
john c scott,person
john c. boland & co.,person
john cannon constr.,person
john d. sayer & co,person
john david furn,person
"john dean bush, et al",person
john doe co.,person
"john g zimmerman archiv, et al",person
"""john doe nos. 1-25"", et al",person
"""john doe""",person
"""john doe""  nos. 1-10, et al",person
"""john doe"" and ""jane doe""",person
"""john doe"", et al",person
jones etal,person
jones jr.,person
"jones spacelink ltd, et al",person
"jones walker, l.l.p., et al",person
"richter, et al",person
"rickert, et al",person
"riden, et al",person
"riley, et al",person
"smith , et al",person
broadcast music inc.,organization
"manny film, llc",organization
"k-beech, inc.",organization
"affordable aerial photography,",organization
united fabrics international i,organization
"elektra entertainment g, et al",organization
top rank inc,organization
"clear skies nevada, llc",organization
"sailor music, et al",organization
"broadcast music inc., et al",organization
microsoft corporatio,organization
that's entertainment,organization
adlife marketing & communicati,organization
warner bros entertainment inc,organization
"un4 productions, inc.",organization
sony music entertainment inc.,organization
"paramount pictures, et al",organization
"klauber brothers, inc.",organization
standard fabrics international,organization
"emi april music inc., et al",organization
"fameflynet, inc.",organization
under seal,organization
"hard drive productions, inc.",organization
"killer joe nevada, llc",organization
bait productions pty ltd.,organization
"major bob music, et al",organization
"jobete music co inc, et al",organization
"criminal productions, inc.",organization
"universal city studi, et al",organization
joe hand promotions,organization
"la printex industries, inc.",organization
"unicolors, inc., et al",organization
"universal city stud, et al",organization
"capitol records, inc, et al",organization
"flyte tyme tunes, et al",organization
"af holdings, llc",organization
"arista records, inc.",organization
"capitol records, llc, et al",organization
"fabric selection, inc.",organization
"poplar oaks, inc.",organization
tacori enterprises,organization
antik denim llc,organization
"design basics, llc",organization
home design services,organization
"innovative sports management,",organization
"next plateau music, et al",organization
walt disney company,organization
columbia pictures industries i,organization
"loud records, llc",organization
"voltage pictures, llc",organization
"liberty media holdings, llc",organization
"maverick recording, et al",organization
"disney enterprises, inc, et al",organization
"stockfood america, inc.",organization
"elektra entertainmen, et al",organization
"virgin records america, et al",organization
la printex industries inc,organization
"u2 home entertainment, inc.",organization
stephen kern,person
scholz design inc,organization
asia entertainment,organization
"roads, llc",organization
"malibu media, llc.",organization
premium sports inc.,organization
warner bros inc,organization
"impulsive music, et al",organization
"hamstein music co, et al",organization
universal city studios product,organization
columbia pictures,organization
ingenuity 13 llc,organization
"malibu media, lcc",organization
"universal dyeing and printing,",organization
"arista records, inc., et al",organization
"zomba recording llc, et al",organization
"cook productions, llc",organization
"io group, inc.",organization
"wb music corp, et al",organization
"windsport, inc.",organization
national satellite,organization
